T26,Water supply and sanitation services,,,,,
143,Central Asia,2005,"Safely managed drinking water sources, urban (Proportion of population with access)",85.8,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
143,Central Asia,2005,"Safely managed drinking water sources, rural (Proportion of population with access)",34.5,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
143,Central Asia,2005,"Safely managed drinking water sources, total (Proportion of population with access)",55.5,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
143,Central Asia,2005,"Safely managed sanitation facilities, urban (Proportion of population with access)",39.2,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
143,Central Asia,2010,"Safely managed drinking water sources, urban (Proportion of population with access)",87.5,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
143,Central Asia,2010,"Safely managed drinking water sources, rural (Proportion of population with access)",40.4,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
143,Central Asia,2010,"Safely managed drinking water sources, total (Proportion of population with access)",59.5,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
143,Central Asia,2010,"Safely managed sanitation facilities, urban (Proportion of population with access)",40.5,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
143,Central Asia,2012,"Safely managed drinking water sources, urban (Proportion of population with access)",88.0,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
143,Central Asia,2012,"Safely managed drinking water sources, rural (Proportion of population with access)",43.0,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
143,Central Asia,2012,"Safely managed drinking water sources, total (Proportion of population with access)",61.2,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
143,Central Asia,2012,"Safely managed sanitation facilities, urban (Proportion of population with access)",40.3,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
143,Central Asia,2015,"Safely managed drinking water sources, urban (Proportion of population with access)",88.7,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
143,Central Asia,2015,"Safely managed sanitation facilities, urban (Proportion of population with access)",39.9,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
30,Eastern Asia,2005,"Safely managed drinking water sources, urban (Proportion of population with access)",94.3,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
30,Eastern Asia,2005,"Safely managed sanitation facilities, urban (Proportion of population with access)",42.7,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
30,Eastern Asia,2005,"Safely managed sanitation facilities, rural (Proportion of population with access)",33.2,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
30,Eastern Asia,2005,"Safely managed sanitation facilities, total (Proportion of population with access)",37.8,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
30,Eastern Asia,2010,"Safely managed drinking water sources, urban (Proportion of population with access)",93.5,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
30,Eastern Asia,2010,"Safely managed sanitation facilities, urban (Proportion of population with access)",56.6,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
30,Eastern Asia,2010,"Safely managed sanitation facilities, rural (Proportion of population with access)",37.2,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
30,Eastern Asia,2010,"Safely managed sanitation facilities, total (Proportion of population with access)",47.7,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
30,Eastern Asia,2015,"Safely managed drinking water sources, urban (Proportion of population with access)",92.7,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
30,Eastern Asia,2015,"Safely managed sanitation facilities, urban (Proportion of population with access)",70.5,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
30,Eastern Asia,2015,"Safely managed sanitation facilities, rural (Proportion of population with access)",41.4,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
30,Eastern Asia,2015,"Safely managed sanitation facilities, total (Proportion of population with access)",58.9,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
34,Southern Asia,2005,"Safely managed drinking water sources, urban (Proportion of population with access)",62.7,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
